,name,price,img
91,Apple Watch Milanese Loop (40mm) - Gold,"7,900",https://m.media-amazon.com/images/I/61fb2Lwu2iL._AC_UY218_.jpg
92,Apple Watch Leather Loop (44mm) - Diver Blue - Large,"7,900",https://m.media-amazon.com/images/I/51ySRwYhLvL._AC_UY218_.jpg
93,Apple Leather Case with MagSafe (for iPhone 13 Pro Max) - Golden Brown,"5,500",https://m.media-amazon.com/images/I/81NfGxYOyZL._AC_UY218_.jpg
94,"Apple Watch SE (GPS + Cellular, 44mm) - Space Grey Aluminium Case with Tornado/Grey Sport Loop","36,900",https://m.media-amazon.com/images/I/81KKiBQNouL._AC_UY218_.jpg
95,"Apple Magic Keyboard for iPad Pro 12.9‑inch (3rd, 4th & 5th Generation) - White","31,900",https://m.media-amazon.com/images/I/81UDF62AqHS._AC_UY218_.jpg
96,"Apple Silicone Case with MagSafe (for iPhone 12, 12 Pro) - Plum","4,900",https://m.media-amazon.com/images/I/712ScsERk-L._AC_UY218_.jpg
97,"Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular","29,900",https://m.media-amazon.com/images/I/71Pln-8awPL._AC_UY218_.jpg
98,"2021 Apple iPad Pro with Apple M1 chip (11-inch/27.96 cm, Wi-Fi + Cellular, 128GB) - Space Grey (3rd Generation)","83,500",https://m.media-amazon.com/images/I/81a-rN2A3DS._AC_UY218_.jpg
99,Apple Watch Sport Loop (41mm) - Pink Pomelo/Tan - Regular,"3,900",https://m.media-amazon.com/images/I/71Ez4T8BZlL._AC_UY218_.jpg
100,"Beats Flex Wireless Earphones – Apple W1 Headphone Chip, Magnetic Earbuds, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Blue","4,499",https://m.media-amazon.com/images/I/61ORqF987ZL._AC_UY218_.jpg
101,Healthy Apple Honey (Wild Forest),299,https://m.media-amazon.com/images/I/71sMraUaZ5L._AC_UY218_.jpg
102,Apple Leather Case with MagSafe (for iPhone 12 Pro Max) - Saddle Brown,"5,900",https://m.media-amazon.com/images/I/81yn2spHqML._AC_UY218_.jpg
103,"New Apple Watch SE (GPS + Cellular, 44mm) - Space Grey Aluminium Case with Black Sport Band","36,900",https://m.media-amazon.com/images/I/712P1s+NPAL._AC_UY218_.jpg
